time;variable;index;id;name;numsamples;min;mean;max;std;
1961-01-01T00:00:00;index;18;LT;Lietuva;14716;-4.44255;-4.2561;-4.0871;0.164423
1961-01-01T00:00:00;index;19;LU;Luxembourg;519;-5.19319;-5.19319;-5.19319;0.0
1961-01-01T00:00:00;index;20;LV;Latvija;15217;-4.44255;-3.85643;-2.88444;0.514865
1961-01-01T00:00:00;index;21;ME;Tsrna Gora;2433;-3.87362;-3.87362;-3.87362;7.15256e-07
1961-01-01T00:00:00;index;22;MK;Poraneshna Jugoslovenska Republika Makedonija;4381;-4.41827;-4.00971;-3.50688;0.451382
1961-01-01T00:00:00;index;23;MT;Malta;50;-4.13258;-4.0257;-3.59815;0.213773
1961-01-01T00:00:00;index;24;NL;Nederland;7841;-5.27796;-4.53346;-3.27762;0.646756
1961-01-01T00:00:00;index;25;NO;Norge;96967;-4.15755;-2.8999;-1.81513;0.537593
1961-01-01T00:00:00;index;26;PL;Polska;65448;-5.33829;-4.68582;-4.10432;0.387537
1961-01-01T00:00:00;index;27;PT;Portugal;14961;nan;nan;nan;nan
1961-01-01T00:00:00;index;28;RO;Romania;44171;-5.002;-4.20646;-2.50123;0.643253
1961-01-01T00:00:00;index;29;SE;Sverige;126657;-4.38149;-3.09452;-1.79818;0.663088
1961-01-01T00:00:00;index;30;SI;Slovenija;3767;-4.95776;-4.93934;-3.0299;0.187562
1961-01-01T00:00:00;index;31;SK;Slovensko;9591;-4.8896;-4.49364;-4.15489;0.187847
1961-01-01T00:00:00;index;32;TR;Turkiye;65663;-4.30253;-2.54752;-0.819291;1.14224
1961-01-01T00:00:00;index;33;UK;United Kingdom;54019;-3.995;-3.81835;-2.91437;0.23087
1961-01-01T00:00:00;index;34;FR;France;103191;-5.19319;-4.03055;-2.30031;0.380912
1962-01-01T00:00:00;index;0;AT;Osterreich;16037;-3.57488;-3.25815;-2.81872;0.310874
1962-01-01T00:00:00;index;1;BE;Belgique-Belgie;6223;-3.1412;-2.7941;-2.51666;0.143679
1962-01-01T00:00:00;index;2;BG;Balgariya;19525;-4.27274;-3.65355;-1.3598;0.671875
1962-01-01T00:00:00;index;3;CH;Schweiz/Suisse/Svizzera;7783;-3.50168;-3.38218;-2.91846;0.215443
1962-01-01T00:00:00;index;4;CY;Kipros / Kibris;1473;-2.47057;-2.47057;-2.47057;4.76837e-07
1962-01-01T00:00:00;index;5;CZ;Ceska republika;15755;-3.57488;-2.636;-2.36646;0.456317
1962-01-01T00:00:00;index;6;DE;Deutschland;73481;-3.57488;-2.54173;-1.39412;0.495689
1962-01-01T00:00:00;index;7;DK;Danmark;9952;-3.09271;-2.01824;-1.4565;0.38517
1962-01-01T00:00:00;index;8;EE;Eesti;11238;-1.47633;-0.667316;-0.471825;0.169648
1962-01-01T00:00:00;index;9;EL;Ellada;21984;-4.27274;-3.15165;-0.830538;1.05103
1962-01-01T00:00:00;index;10;ES;Espana;84671;-3.36011;-2.88457;-1.3739;0.523439
1962-01-01T00:00:00;index;11;FI;Suomi / Finland;100744;-2.10002;-1.73085;-0.744519;0.369026
1962-01-01T00:00:00;index;12;HR;Hrvatska;10306;-3.21897;-2.73102;-2.35324;0.26219
1962-01-01T00:00:00;index;13;HU;Magyarorszag;17680;-3.57488;-2.59437;-2.18301;0.240183
1962-01-01T00:00:00;index;14;IE;Ireland;15033;nan;nan;nan;nan
1962-01-01T00:00:00;index;15;IS;Island;2413;nan;nan;nan;nan
1962-01-01T00:00:00;index;16;IT;Italia;53069;-3.50168;-2.44786;-1.00719;0.647985
1962-01-01T00:00:00;index;17;LI;Liechtenstein;28;-2.91846;-2.91846;-2.91846;4.76837e-07
